quiz1,quiz2,assignment,class activity,midterm,final,grade
8.5,9,13,4.5,17.5,14.66,C
8.25,9,13,4.5,14.75,26.25,B
7,8.5,13,4.5,7,12.91,F
9.5,8.5,15,4.5,18,34.6,A
9,9.5,15,4.5,11.75,26.25,B
10,10,13,4.5,19,29.5,A -
8,6.5,13,4,10.5,24.41,C
9,5.75,15,5,13.5,6.5,D
8.25,7.75,14,4,12.5,15.75,C -
8.25,7.75,12,5,16,18.41,C
9,8.5,13.5,5,16,14.5,C
8.5,7.5,15,5,11.75,19.41,C
3.75,4,12.5,3,11.75,11.91,F
7,7.5,13,4,16.75,18.25,C
10,8,15,5,15.5,22.25,B
10,8.5,15,5,14.25,26.5,B +
6.5,8.25,14.5,5,17.5,20.66,B -
9.5,8.5,14,4,16.5,18,C +
8.5,8,14.5,4,16.5,18,C +
9.5,4.75,10.5,4,13.5,6,F
5.75,7.5,14,5,16.75,22.75,C +
10,8,14,5,16,24.5,B
8.5,6.75,13.5,3,10,14.5,D
7.5,4.5,13,4.5,13.75,26.16,C +
4,,11.5,2.5,12.75,13.25,F
8,7,14,4,14.25,22.5,C +
7.5,8.5,13,4,15.75,17.5,C
9,7.5,15,5,15.5,14.5,C
8,7.5,13.5,4.25,17.5,20.75,C +
6.5,6.5,14,4,10.5,15,D
6,5.5,12,3,12,16,D
6.5,6.75,11.25,3.5,11,16.5,D
7.25,7.5,14.25,4,18,31.25,B +
9.5,7,12.5,4,17,19.75,C +
3.5,6.5,12,4,8.25,15,F
8,7,12.5,4.5,15,24.25,C +
10,7.5,13.75,5,19,25,B +
7.5,6.5,12.5,5,15,27,B -
10,8,12.75,4,19.25,29.25,B +
9,7,13.5,4,20,31.5,A -
10,8,9.75,5,16.5,21.25,C +
8,7.5,14,5,15,17,C
8.5,9,12.5,4,15,20.25,C +
9,9.5,13.25,5,20,28.75,A -
5.5,5,12,4,10.5,12,F
7.5,8,12.5,4.5,15,19.75,C
8,9,14,5,18,15.25,C +
1,3,14,4.5,12,14,F
10,9,13,4,17,16.5,C +
10,7,12.5,4.5,17.5,21.5,B -
7.5,8,13,4.5,18,19,C +
9.5,5.5,13,4.5,18,19.5,C +
8,7.5,13.5,5,18,19,C +
8.5,10,14,4.5,15,25.25,B
7,5,13,4,18,25.5,B -
9,9.5,15,4.5,17.5,11,C
8.5,9,14,4,18,14.5,C
9,6.5,14,5,17.5,23.25,B
10,9.5,14,5,18.5,22.25,B +
6.5,0,10.5,3,9,10.5,F
7.5,8,12.5,4,18.5,26.75,B
6.5,6.5,13.5,4.5,18,18,C
8.5,8,12.5,4,18,16.25,C
8,8,13,4,16,19,C
8,8,14,4.5,16.75,18.75,C +
8.25,7.5,13.5,4,16,17.5,C
8,4,11.75,4,15,25,C
9.5,9.5,13.5,5,13,30.5,B +
8,7.25,13,4,12,12.5,D
9,9.5,13.75,4.5,16,24,B
9,8,14.75,5,17,16,C +
8.5,9.5,12.5,4,15.25,23.5,B -
9.5,10,13.75,4.5,14,33,A -
9,9,13.5,4,16,18.5,C +
10,9.5,14.25,4.75,16,30.5,A -
9,9.5,13,4.5,14,21,C +
5,6,12.5,4,10,19,D
8.5,7.5,13.75,4.5,16.75,29.5,B +
9,9,13,4.75,9.75,24,C +
9.5,10,13.75,4.75,19.5,32.5,A
8.5,7.5,13,4.25,17,22.25,B -
8,8,15,5,17,16.5,C +
8.5,6.5,14,4,15,24,C +
6,6,14,4,14,23,C
7,7,13,4,14,9.5,D
8.5,8,13,4,15,6,D
9.5,7.5,15,5,14.5,19,C +
5,3.5,5,3,8.5,6,F
9,9.5,14.5,5,17,12,C
5.5,6.5,12.5,4,3.5,6,F
9.5,9,14.5,5,17,12,C
6,6.5,12.5,4,9.5,11,F
10,7,14.5,5,16,20.5,B -
7.5,8.5,13.5,4,14,20,C
7.5,8,14,5,16,26,B
8,6,14,4,19,16,C
0,7,12.5,5,12,4,F
9,5.5,13.5,4,16.5,18.5,C
6.5,3.5,14,5,11.5,14.5,D
9,9,13,5,16,15,C
5,4,12,4,9.5,10,F
7.5,7,13,5,14.5,20,C
6.5,7,13.5,5,15,22.5,C +
8,5.5,12,4,9.5,15.25,D
8,7,13,5,15.5,21.5,C +
7,8,12,4,15,20.5,C
A8,7,11,4,15,22,C
8,8,14,5,15,17,C
8,8,12.5,4,15,19,C
8.5,9.5,13,5,15.5,28,B +
5.5,7,13,5,15.5,20.5,C
8,5.5,13,5,16.5,22,C +
8,7.5,13,5,10,23.5,C
8.5,8.5,14,4,15,26,B
7,8.5,13,5,13,20,C
9,8.5,14,4,14,17,C
7.5,8,14,5,12,20.5,C
8,8,15,5,15,16
8,8,14.5,5,14,17.5,C
5.5,7,11.5,5,16,22,C
6.5,7,13,5,17.5,21,C +
7,8.5,13,5,12,23,C
8,5.5,15,5,15,23.5,C +
9,6,13,5,17,17,C
7,8,13.5,5,13,8,D
9,9,13,4.5,17.5,23,B
9,8,14.5,5,17,13.5,C
7.5,9,11.5,4,13.5,27.5,B -
5,4,11.5,4,13.5,19.5,D
8,9,13.5,4.5,16,18.5,C +
7.5,7.5,11,3.5,14,15,D
6.5,6,11,4,9,12.75,F
4,3.5,11.5,3.5,6.5,16.5,F
9.5,10,14,4.5,19.5,32.5,A
9,4,14.25,4.75,12,23,C
4.5,8,12,4,7,12.75,F
8,8,12.5,3.5,10.5,18,C -
7.5,7,14,4.5,17,31,B +
7.5,7.5,13,4,17,31.5,B +
7.5,8.5,12,4,17.5,22.5,C +
8,6.5,11,3.5,14,14.25,D
9,8.5,13.5,4.5,15,19.5,C +
7,5.25,11.5,4,12.5,17,D
6.5,4.75,13.5,4,13,10.5,F
7.5,8.5,12,4.5,15,22.5,C +
6.5,6.5,11.5,4,10.5,12,F
5,5.25,11.5,4,11,18,D
7,9,13,4.5,13.5,20.5,C
8.5,5.5,14,4,15,23.5,C +
7.5,8,12,4.5,14.5,16.5,C -
8,5,11.5,4,8.5,3,F
6,8.5,12,3.5,14.5,23,C
8,9,14,5,19,28,B +
8.5,5.75,11.5,4,15.5,9.5,D
7.5,7,11,3.5,11,12.5,F
7,5.75,12.5,4,15,28.5,B -
8.5,8,13,4,15,19,C
4.5,5,11.5,4,14,12.5,F
2,7,11.5,4,13.5,17,D
9,9,14.5,5,15,14,C
9,9.5,12.5,4,18,11.16,C -
7,7.5,12,4.5,17,18.08,C
8,9,13,4.5,16,17.25,C
6.5,5.5,13,4.5,7,12.25,F
8.25,8.75,13.5,4,16.75,15,C
7.75,8.5,12.5,4,12.75,10.25,D
6,3.5,12,3.5,9.5,15.83,F
9,7,13,4.5,14,20.33,C
9,2,13.5,5,15.75,26.66,C +
8.25,9,14.5,4,15.5,18.91,C +
5,5.5,11.5,3,13,9.75,F
2.75,5.5,11.75,4,7.5,15.5,F
8.75,9.25,13,4,17,21.75,B -
10,8.5,13.5,4.5,15.75,17.41,C +
9,9,13.5,4,18.5,12.25,C
9,9,13,4.5,17.5,23,B
9,8,14.5,5,17,13.5,C
7.5,9,11.5,4,13.5,27.5,B -
5,4,11.5,4,13.5,19.5,D
8,9,13.5,4.5,16,18.5,C +
7.5,7.5,11,3.5,14,15,D
6.5,6,11,4,9,12.75,F
4,3.5,11.5,3.5,6.5,16.5,F
9.5,10,14,4.5,19.5,32.5,A
9,4,14.25,4.75,12,23,C
4.5,8,12,4,7,12.75,F
8,8,12.5,3.5,10.5,18,C -
7.5,7,14,4.5,17,31,B +
7.5,7.5,13,4,17,31.5,B +
7.5,8.5,12,4,17.5,22.5,C +
8,6.5,11,3.5,14,14.25,D
9,8.5,13.5,4.5,15,19.5,C +
7,5.25,11.5,4,12.5,17,D
6.5,4.75,13.5,4,13,10.5,F
7.5,8.5,12,4.5,15,22.5,C +
6.5,6.5,11.5,4,10.5,12,F
5,5.25,11.5,4,11,18,D
7,9,13,4.5,13.5,20.5,C
8.5,5.5,14,4,15,23.5,C +
7.5,8,12,4.5,14.5,16.5,C -
8,5,11.5,4,8.5,3,F
6,8.5,12,3.5,14.5,23,C
8,9,14,5,19,28,B +
8.5,5.75,11.5,4,15.5,9.5,D
7.5,7,11,3.5,11,12.5,F
7,5.75,12.5,4,15,28.5,B -
8.5,8,13,4,15,19,C
4.5,5,11.5,4,14,12.5,F
2,7,11.5,4,13.5,17,D
9,9,14.5,5,15,14,C
9,9.5,12.5,4,18,11.16,C -
7,7.5,12,4.5,17,18.08,C
8,9,13,4.5,16,17.25,C
6.5,5.5,13,4.5,7,12.25,F
8.25,8.75,13.5,4,16.75,15,C
7.75,8.5,12.5,4,12.75,10.25,D
6,3.5,12,3.5,9.5,15.83,F
9,7,13,4.5,14,20.33,C
9,2,13.5,5,15.75,26.66,C +
8.25,9,14.5,4,15.5,18.91,C +
5,5.5,11.5,3,13,9.75,F
2.75,5.5,11.75,4,7.5,15.5,F
8.75,9.25,13,4,17,21.75,B -
10,8.5,13.5,4.5,15.75,17.41,C +
9,9,13.5,4,18.5,12.25,C